time;x;y;z;gforce
4.8970;0.7232;-0.7583;0.0391;1.049
4.9000;0.7074;-0.7505;0.0430;1.032
4.9100;0.7036;-0.7388;0.0391;1.021
4.9550;0.7074;-0.7427;0.0234;1.026
4.9570;0.7192;-0.7349;0.0273;1.029
4.9620;0.7192;-0.7544;0.0312;1.043
4.9630;0.6957;-0.7700;0.0156;1.038
4.9650;0.6841;-0.7700;0.0156;1.030
4.9720;0.6606;-0.7857;0.0156;1.027
5.0200;0.6606;-0.7935;0.0078;1.033
5.0230;0.6880;-0.7896;0.0116;1.047
5.0250;0.6957;-0.7935;0.0078;1.055
5.0270;0.6880;-0.7817;-0.0078;1.041
5.0310;0.6606;-0.7817;-0.0116;1.024
5.0330;0.6254;-0.7857;-0.0195;1.004
5.0410;0.6254;-0.7779;-0.0312;0.999
5.0880;0.6371;-0.7779;-0.0430;1.006
5.0910;0.6489;-0.7622;-0.0351;1.002
5.0930;0.6723;-0.7583;-0.0312;1.014
5.0950;0.6762;-0.7740;-0.0039;1.028
5.0980;0.6645;-0.7779;0.0234;1.023
5.1010;0.6684;-0.7896;0.0391;1.035
5.1100;0.6645;-0.7896;0.0273;1.032
5.1230;0.6489;-0.7661;0.0312;1.004
5.1350;0.6684;-0.7817;-0.0156;1.029
5.1430;0.6801;-0.8013;-0.0195;1.051
5.1570;0.6841;-0.8091;-0.0234;1.060
5.1600;0.6566;-0.7896;-0.0312;1.027
5.2070;0.6449;-0.7583;-0.0273;0.996
5.2100;0.6410;-0.7661;-0.0468;1.000
5.2130;0.6449;-0.7935;-0.0468;1.024
5.2150;0.6645;-0.8404;-0.0508;1.073
5.2180;0.6762;-0.8404;-0.0508;1.080
5.2200;0.6801;-0.8091;-0.0391;1.058
5.2300;0.6723;-0.7857;-0.0312;1.035
5.2740;0.6606;-0.7857;-0.0312;1.027
5.2770;0.6645;-0.8013;-0.0351;1.042
5.2790;0.6566;-0.8091;-0.0468;1.043
5.2810;0.6684;-0.8208;-0.0430;1.059
5.2830;0.6762;-0.7740;-0.0312;1.028
5.2930;0.6684;-0.7896;0.0116;1.035
5.3000;0.6684;-0.7973;-0.0156;1.041
5.3100;0.6684;-0.8013;-0.0234;1.044
5.3250;0.6645;-0.7973;-0.0391;1.039
5.3300;0.6528;-0.8013;-0.0547;1.035
5.3440;0.6489;-0.8091;-0.0624;1.039
5.3560;0.6566;-0.8091;-0.0586;1.044
5.3600;0.6684;-0.7935;-0.0430;1.038
5.4170;0.6645;-0.7896;-0.0234;1.032
5.4210;0.6723;-0.7935;-0.0234;1.040
5.4230;0.6801;-0.8013;-0.0273;1.051
5.4240;0.6723;-0.8169;-0.0430;1.059
5.4260;0.6606;-0.8365;-0.0742;1.069
5.4280;0.6606;-0.8326;-0.0742;1.065
5.4310;0.6371;-0.8169;-0.0586;1.038
5.4400;0.6449;-0.8013;-0.0468;1.030
5.4860;0.6762;-0.7661;-0.0624;1.024
5.4900;0.6997;-0.7622;-0.0234;1.035
5.4920;0.6684;-0.8208;-0.0312;1.059
5.4940;0.6801;-0.8091;-0.0391;1.058
5.4950;0.6880;-0.8013;-0.0195;1.056
5.5030;0.6566;-0.8131;0.0039;1.045
5.5140;0.6449;-0.8052;-0.0234;1.032
5.5200;0.6176;-0.8248;-0.0391;1.031
5.5300;0.5667;-0.8482;-0.0508;1.021
5.5410;0.5590;-0.8365;-0.0703;1.009
5.5840;0.5785;-0.8052;-0.0782;0.995
5.5860;0.5902;-0.7896;-0.0899;0.990
5.5880;0.5863;-0.8131;-0.0664;1.005
5.5930;0.5941;-0.8365;-0.0468;1.027
5.5940;0.6762;-0.8208;-0.0782;1.066
5.6030;0.6957;-0.8208;-0.1016;1.081
5.6160;0.6997;-0.8599;-0.0547;1.110
5.6200;0.6449;-0.8951;-0.0195;1.103
5.6330;0.6215;-0.8639;-0.0430;1.065
5.6400;0.6098;-0.8482;-0.0859;1.048
5.6500;0.6215;-0.8365;-0.0782;1.045
5.7060;0.5941;-0.8482;-0.0899;1.039
5.7100;0.5823;-0.8560;-0.0624;1.037
5.7130;0.5667;-0.8287;-0.0664;1.006
6.3260;0.5511;-0.8248;-0.0586;0.994
6.3290;0.5315;-0.8365;-0.0351;0.992
6.3310;0.5511;-0.8287;-0.0547;0.997
6.3330;0.5941;-0.8169;-0.0664;1.012
6.3340;0.6098;-0.8052;-0.0899;1.014
6.3380;0.5823;-0.8365;-0.0391;1.020
6.3400;0.5863;-0.8482;-0.0547;1.033
6.3420;0.6058;-0.8482;-0.0624;1.044
6.3440;0.6176;-0.8521;-0.0586;1.054
6.3450;0.6332;-0.8443;-0.0547;1.057
6.3470;0.6410;-0.8443;-0.0624;1.062
