time,x,y,z
17:40:29:874,-0.32,3.17,-1.71
17:40:29:876,-0.36,3.29,-1.75
17:40:29:878,-0.47,3.37,-1.79
17:40:29:879,-0.64,3.50,-1.91
17:40:29:881,-0.80,3.78,-2.05
17:40:29:883,-0.80,3.95,-2.19
17:40:29:885,-0.98,4.06,-2.27
17:40:29:887,-0.72,4.04,-2.39
17:40:29:889,-0.28,3.83,-2.46
17:40:29:890,-0.36,3.63,-2.37
17:40:29:892,-0.13,3.45,-2.46
17:40:29:894,-0.33,3.32,-2.46
17:40:29:896,-0.74,3.23,-2.34
17:40:29:898,-0.90,3.38,-2.26
17:40:29:900,-1.03,3.56,-2.26
17:40:29:908,-1.17,3.73,-2.24
17:40:29:920,-1.20,3.63,-2.19
17:40:29:924,-1.20,3.24,-2.08
17:40:29:958,-1.13,2.79,-1.97
17:40:29:961,-0.96,2.41,-2.01
17:40:29:964,-0.86,2.28,-2.04
17:40:29:966,-0.77,2.41,-2.12
17:40:29:974,-0.67,2.67,-2.20
17:40:30:8,-0.75,3.05,-2.14
17:40:30:11,-0.85,3.29,-2.17
17:40:30:13,-1.07,3.39,-2.08
17:40:30:15,-1.48,3.42,-1.90
17:40:30:24,-1.72,3.43,-1.78
17:40:30:35,-1.90,3.45,-1.66
17:40:30:40,-2.07,3.56,-1.52
17:40:30:51,-1.98,3.58,-1.49
17:40:30:60,-1.87,3.50,-1.50
17:40:30:88,-1.76,3.49,-1.46
17:40:30:91,-1.64,3.56,-1.55
17:40:30:93,-1.60,3.48,-1.66
17:40:30:102,-1.74,3.70,-1.54
17:40:30:108,-1.80,3.71,-1.52
17:40:30:118,-1.97,3.70,-1.48
17:40:30:128,-2.15,3.97,-1.34
17:40:30:137,-2.14,3.91,-1.50
17:40:30:172,-2.26,3.86,-1.49
17:40:30:176,-2.12,3.74,-1.45
17:40:30:178,-1.95,3.51,-1.51
17:40:30:180,-1.81,3.29,-1.40
17:40:30:187,-1.65,3.30,-1.32
17:40:30:196,-1.72,3.04,-1.31
17:40:30:205,-1.75,2.74,-1.11
17:40:30:218,-1.94,2.44,-1.06
17:40:30:225,-2.23,2.09,-1.08
17:40:30:235,-2.35,2.13,-1.06
17:40:30:244,-2.55,2.44,-1.13
17:40:30:254,-2.57,2.92,-1.14
17:40:30:294,-2.45,3.25,-1.09
17:40:30:298,-2.30,3.31,-1.02
17:40:30:300,-2.15,3.05,-0.99
17:40:30:303,-2.06,2.58,-1.00
17:40:30:305,-2.00,2.19,-1.03
17:40:30:321,-1.96,1.92,-1.09
17:40:30:324,-1.99,1.87,-1.19
17:40:30:352,-2.00,2.01,-1.25
17:40:30:354,-2.00,2.26,-1.24
17:40:30:356,-2.12,2.49,-1.20
17:40:30:369,-2.23,2.55,-1.10
17:40:30:372,-2.36,2.49,-0.98
17:40:30:402,-2.44,2.32,-0.93
17:40:30:404,-2.38,2.22,-0.89
17:40:30:406,-2.21,2.14,-0.92
17:40:30:417,-1.88,2.13,-1.00
17:40:30:420,-1.67,1.99,-1.14
17:40:30:429,-1.55,1.81,-1.22
17:40:30:440,-1.59,1.66,-1.24
17:40:30:454,-1.73,1.52,-1.17
17:40:30:458,-1.92,1.77,-1.06
17:40:30:493,-1.53,2.44,-1.41
17:40:30:495,-1.33,3.79,-1.83
17:40:30:498,-1.58,3.81,-1.92
17:40:30:501,-1.44,3.48,-1.72
17:40:30:510,-1.72,2.94,-1.18
17:40:30:521,-1.66,1.72,-0.63
17:40:30:526,-1.36,1.78,-0.43
17:40:30:536,-1.39,1.89,-0.43
17:40:30:545,-1.40,1.66,-0.33
17:40:30:578,-1.40,1.45,-0.12
17:40:30:580,-1.29,1.33,-0.01
17:40:30:582,-1.17,1.34,-0.00
17:40:30:584,-1.13,1.48,0.06
17:40:30:595,-1.16,1.56,0.11
17:40:30:604,-1.13,1.53,0.26
17:40:30:613,-1.10,1.42,0.52
17:40:30:626,-1.11,1.30,0.75
17:40:30:638,-1.04,1.17,0.87
17:40:30:642,-0.97,1.11,0.83
17:40:30:655,-0.81,1.10,0.69
17:40:30:662,-0.63,1.23,0.48
17:40:30:695,-0.57,1.45,0.18
17:40:30:698,-0.59,1.49,-0.01
17:40:30:700,-0.65,1.54,-0.13
17:40:30:703,-0.84,1.37,-0.16
17:40:30:712,-0.88,1.00,-0.02
17:40:30:721,-0.85,0.70,0.14
17:40:30:786,-0.87,0.22,0.24
17:40:30:789,-0.73,-0.35,0.27
17:40:30:791,-0.72,-0.84,0.29
17:40:30:792,-0.68,-1.26,0.28
17:40:30:794,-0.45,-1.11,0.43
17:40:30:796,-0.80,-1.24,0.29
17:40:30:797,-0.76,-1.28,0.23
17:40:30:799,-0.94,-1.31,0.17
17:40:30:815,-1.33,-1.67,-0.05
17:40:30:817,-1.35,-1.82,0.05
17:40:30:827,-1.63,-2.09,0.13
17:40:30:837,-1.50,-2.10,0.54
17:40:30:846,-1.52,-2.40,0.71
17:40:30:879,-1.08,-2.09,1.10
17:40:30:882,-0.92,-1.93,1.17
17:40:30:884,-0.74,-1.78,1.10
17:40:30:886,-0.56,-1.49,1.07
17:40:30:895,-0.54,-1.29,0.93
17:40:30:927,-0.50,-1.00,0.93
17:40:30:929,-0.64,-0.98,0.85
17:40:30:931,-0.60,-0.95,0.95
17:40:30:934,-0.66,-1.26,0.85
17:40:30:944,-0.48,-1.41,0.87
17:40:30:985,-0.32,-1.50,0.83
17:40:30:987,-0.17,-1.35,0.82
17:40:30:990,-0.14,-1.01,0.86
17:40:30:993,-0.25,-0.66,0.94
17:40:30:996,-0.42,-0.35,0.98
17:40:31:2,-0.53,-0.14,1.00
17:40:31:11,-0.36,0.11,0.91
17:40:31:21,-0.42,0.36,1.01
17:40:31:31,-0.01,1.69,0.62
17:40:31:40,1.22,3.94,-0.67
17:40:31:78,1.54,4.14,-1.08
17:40:31:80,1.82,3.13,-2.20
17:40:31:82,1.76,1.52,-2.06
17:40:31:84,1.12,-0.51,-0.73
17:40:31:91,1.02,-0.60,-0.63
17:40:31:109,0.96,0.24,-0.16
17:40:31:111,0.69,0.48,-0.01
17:40:31:129,0.52,0.53,-0.08
17:40:31:140,0.75,1.32,0.39
17:40:31:143,1.17,2.92,0.78
17:40:31:158,1.37,4.48,0.36
17:40:31:161,1.19,5.14,-0.23
17:40:31:195,0.62,4.22,-0.61
17:40:31:198,0.41,2.63,-0.83
17:40:31:200,0.50,1.23,-0.61
17:40:31:202,0.45,0.41,-0.07
17:40:31:211,0.43,0.36,0.09
17:40:31:221,0.13,0.40,0.24
17:40:31:225,-0.14,0.35,0.26
17:40:31:240,-0.28,0.29,0.17
17:40:31:245,-0.27,0.30,0.43
17:40:31:258,-0.13,0.34,0.77
