time,x,y,z
18:36:04:365,-0.35,-0.11,-0.43
18:36:04:367,-0.25,-0.20,-0.48
18:36:04:370,-0.11,-0.32,-0.55
18:36:04:379,-0.03,-0.34,-0.64
18:36:04:389,0.02,-0.23,-0.68
18:36:04:398,-0.04,-0.11,-0.69
18:36:04:410,-0.18,-0.01,-0.66
18:36:04:418,-0.34,0.04,-0.56
18:36:04:428,-0.48,0.07,-0.44
18:36:04:437,-0.55,0.14,-0.39
18:36:04:476,-0.52,0.21,-0.36
18:36:04:478,-0.36,0.21,-0.37
18:36:04:481,-0.16,0.11,-0.41
18:36:04:483,0.01,-0.05,-0.47
18:36:04:486,0.13,-0.14,-0.49
18:36:04:495,0.23,-0.17,-0.49
18:36:04:505,0.25,-0.02,-0.45
18:36:04:515,0.20,0.22,-0.39
18:36:04:559,0.09,0.40,-0.33
18:36:04:563,-0.12,0.48,-0.28
18:36:04:567,-0.31,0.37,-0.26
18:36:04:569,-0.42,0.13,-0.24
18:36:04:693,-0.43,-0.12,-0.25
18:36:04:694,-0.32,-0.23,-0.27
18:36:04:696,-0.16,-0.17,-0.30
18:36:04:697,-0.03,-0.06,-0.31
18:36:04:698,0.05,0.04,-0.32
18:36:04:700,0.04,0.00,-0.33
18:36:04:702,-0.03,-0.16,-0.34
18:36:04:704,-0.11,-0.32,-0.35
18:36:04:706,-0.17,-0.43,-0.32
18:36:04:707,-0.23,-0.46,-0.30
18:36:04:709,-0.29,-0.49,-0.27
18:36:04:711,-0.37,-0.52,-0.23
18:36:04:713,-0.41,-0.16,-0.14
18:36:04:714,-0.38,0.06,-0.11
18:36:04:720,-0.41,0.19,-0.06
18:36:04:728,-0.48,0.19,0.00
18:36:04:738,-0.54,0.08,0.04
18:36:04:748,-0.52,-0.04,0.09
18:36:04:784,-0.41,-0.13,0.12
18:36:04:787,-0.27,-0.20,0.12
18:36:04:789,-0.15,-0.29,0.11
18:36:04:791,-0.09,-0.37,0.09
18:36:04:797,-0.08,-0.46,0.06
18:36:04:811,-0.11,-0.49,0.07
18:36:04:816,-0.21,-0.47,0.11
18:36:04:827,-0.32,-0.48,0.13
18:36:04:835,-0.44,-0.50,0.16
18:36:04:845,-0.54,-0.51,0.17
18:36:04:855,-0.56,-0.48,0.13
18:36:04:886,-0.52,-0.40,0.09
18:36:04:889,-0.47,-0.32,0.03
18:36:04:891,-0.38,-0.30,-0.07
18:36:04:894,-0.31,-0.31,-0.15
18:36:04:903,-0.29,-0.29,-0.22
18:36:04:913,-0.34,-0.24,-0.28
18:36:04:928,-0.43,-0.18,-0.31
18:36:04:933,-0.51,-0.14,-0.35
18:36:04:944,-0.49,-0.11,-0.37
18:36:04:952,-0.40,-0.05,-0.40
18:36:04:991,-0.29,0.01,-0.43
18:36:04:994,-0.22,0.06,-0.45
18:36:04:996,-0.21,0.10,-0.49
18:36:04:998,-0.19,0.09,-0.51
18:36:05:1,-0.10,0.11,-0.51
18:36:05:11,0.01,0.18,-0.50
18:36:05:20,0.09,0.20,-0.49
18:36:05:30,0.08,0.16,-0.48
18:36:05:75,0.00,0.08,-0.47
18:36:05:79,-0.06,-0.02,-0.44
18:36:05:81,-0.04,-0.10,-0.41
18:36:05:83,0.04,-0.20,-0.39
18:36:05:85,0.18,-0.34,-0.36
18:36:05:88,0.28,-0.47,-0.33
18:36:05:98,0.31,-0.57,-0.27
18:36:05:112,0.31,-0.56,-0.19
18:36:05:117,0.29,-0.46,-0.11
18:36:05:128,0.26,-0.37,-0.06
18:36:05:137,0.29,-0.29,-0.07
18:36:05:146,0.34,-0.22,-0.11
18:36:05:156,0.33,-0.15,-0.10
18:36:05:193,0.31,-0.09,-0.10
18:36:05:197,0.36,-0.13,-0.13
18:36:05:199,0.51,-0.31,-0.16
18:36:05:201,0.73,-0.53,-0.22
18:36:05:205,0.88,-0.73,-0.23
18:36:05:216,0.81,-0.77,-0.12
18:36:05:226,0.52,-0.65,0.05
18:36:05:235,0.22,-0.48,0.22
18:36:05:245,-0.01,-0.31,0.39
18:36:05:254,-0.09,-0.12,0.51
18:36:05:294,-0.09,0.03,0.58
18:36:05:297,0.02,0.19,0.68
18:36:05:299,0.21,0.29,0.70
18:36:05:302,0.41,0.28,0.67
18:36:05:304,0.62,0.21,0.64
18:36:05:314,0.68,0.03,0.56
18:36:05:322,0.58,-0.11,0.56
18:36:05:332,0.39,-0.15,0.57
18:36:05:376,0.17,-0.06,0.60
18:36:05:380,0.02,0.15,0.62
18:36:05:382,-0.07,0.39,0.61
18:36:05:384,-0.12,0.59,0.60
18:36:05:386,-0.16,0.71,0.60
18:36:05:390,-0.13,0.73,0.58
18:36:05:399,-0.02,0.67,0.55
18:36:05:413,0.12,0.58,0.55
18:36:05:419,0.24,0.44,0.54
18:36:05:429,0.26,0.30,0.50
18:36:05:438,0.21,0.26,0.51
18:36:05:477,0.15,0.28,0.48
18:36:05:480,0.10,0.39,0.49
18:36:05:482,0.02,0.52,0.50
18:36:05:484,-0.07,0.59,0.49
18:36:05:487,-0.17,0.58,0.46
18:36:05:497,-0.24,0.57,0.43
18:36:05:506,-0.27,0.60,0.43
18:36:05:516,-0.26,0.71,0.46
18:36:05:529,-0.24,0.83,0.48
18:36:05:535,-0.21,0.92,0.49
18:36:05:546,-0.19,0.99,0.47
18:36:05:706,-0.16,1.00,0.40
18:36:05:708,-0.13,1.05,0.34
18:36:05:710,-0.10,1.09,0.27
18:36:05:712,-0.09,1.08,0.21
18:36:05:713,-0.11,0.99,0.17
18:36:05:714,-0.17,0.81,0.13
18:36:05:716,-0.25,0.62,0.12
18:36:05:717,-0.34,0.44,0.09
18:36:05:718,-0.41,0.33,0.08
18:36:05:720,-0.44,0.25,0.07
18:36:05:722,-0.42,0.24,0.08
18:36:05:723,-0.39,0.30,0.12
18:36:05:724,0.09,0.46,0.14
18:36:05:726,0.18,0.49,0.08
18:36:05:759,0.27,0.55,0.00
18:36:05:761,0.31,0.59,-0.07
18:36:05:763,0.30,0.62,-0.07
18:36:05:764,0.22,0.66,-0.03
18:36:05:768,0.07,0.64,0.06
18:36:05:804,-0.11,0.51,0.13
18:36:05:806,-0.22,0.31,0.16
18:36:05:809,-0.22,0.05,0.13
18:36:05:810,-0.06,-0.13,0.07
18:36:05:837,0.17,-0.21,-0.01
18:36:05:839,0.36,-0.23,-0.10
18:36:05:841,0.45,-0.22,-0.16
18:36:05:848,0.44,-0.24,-0.21
18:36:05:856,0.34,-0.30,-0.23
18:36:05:866,0.17,-0.37,-0.24
18:36:05:899,0.04,-0.47,-0.27
18:36:05:902,-0.03,-0.57,-0.30
18:36:05:903,0.01,-0.60,-0.32
18:36:05:905,0.19,-0.48,-0.30
18:36:05:915,0.41,-0.31,-0.29
18:36:05:925,0.61,-0.12,-0.31
18:36:05:934,0.78,0.01,-0.33
18:36:05:946,0.85,0.06,-0.32
18:36:05:953,0.83,0.03,-0.30
18:36:05:963,0.71,-0.15,-0.30
18:36:05:973,0.54,-0.43,-0.33
18:36:06:14,0.36,-0.69,-0.38
18:36:06:17,0.19,-0.71,-0.37
18:36:06:19,0.12,-0.49,-0.34
18:36:06:21,0.16,-0.20,-0.34
18:36:06:23,0.33,-0.14,-0.38
18:36:06:32,0.65,-0.32,-0.46
18:36:06:41,0.93,-0.50,-0.52
18:36:06:51,1.04,-0.46,-0.49
18:36:06:64,0.98,-0.22,-0.47
18:36:06:70,0.74,0.00,-0.45
18:36:06:80,0.49,0.07,-0.42
18:36:06:90,0.35,-0.01,-0.44
18:36:06:139,0.26,-0.11,-0.44
18:36:06:144,0.18,-0.03,-0.42
18:36:06:146,0.07,0.16,-0.43
18:36:06:149,-0.04,0.37,-0.45
18:36:06:150,-0.03,0.55,-0.52
18:36:06:152,0.12,0.56,-0.62
18:36:06:158,0.31,0.46,-0.68
18:36:06:167,0.49,0.23,-0.69
18:36:06:210,0.56,-0.04,-0.63
18:36:06:213,0.52,-0.15,-0.54
18:36:06:216,0.46,-0.09,-0.47
18:36:06:218,0.35,0.11,-0.44
18:36:06:220,0.19,0.31,-0.47
18:36:06:232,0.02,0.35,-0.51
18:36:06:236,-0.14,0.27,-0.56
18:36:06:247,-0.21,0.18,-0.54
18:36:06:255,-0.16,0.08,-0.50
18:36:06:265,-0.10,0.05,-0.43
18:36:06:275,-0.02,0.07,-0.37
18:36:06:312,0.08,0.17,-0.33
18:36:06:315,0.14,0.36,-0.32
18:36:06:318,0.16,0.53,-0.32
18:36:06:319,0.13,0.61,-0.33
18:36:06:323,0.06,0.51,-0.34
18:36:06:333,-0.03,0.31,-0.31
18:36:06:347,-0.06,0.07,-0.25
18:36:06:352,-0.00,-0.25,-0.21
18:36:06:363,0.08,-0.48,-0.16
18:36:06:371,0.17,-0.61,-0.11
18:36:06:381,0.23,-0.64,-0.13
