time,x,y,z
18:22:39:195,-0.46,-0.24,-0.24
18:22:39:206,-0.53,-0.37,-0.41
18:22:39:215,-0.55,-0.55,-0.59
18:22:39:225,-0.58,-0.71,-0.74
18:22:39:234,-0.59,-0.82,-0.89
18:22:39:269,-0.61,-0.80,-1.08
18:22:39:273,-0.67,-0.54,-1.01
18:22:39:275,-0.57,-0.33,-0.90
18:22:39:277,-0.51,-0.08,-0.78
18:22:39:283,-0.49,0.16,-0.62
18:22:39:293,-0.48,0.17,-0.70
18:22:39:308,-0.57,0.16,-0.92
18:22:39:312,-0.59,0.11,-1.14
18:22:39:323,-0.52,0.04,-1.35
18:22:39:332,-0.41,-0.04,-1.56
18:22:39:368,-0.32,-0.11,-1.67
18:22:39:373,-0.33,-0.20,-1.67
18:22:39:375,-0.41,-0.34,-1.56
18:22:39:567,-0.54,-0.46,-1.44
18:22:39:569,-0.63,-0.55,-1.36
18:22:39:570,-0.64,-0.62,-1.32
18:22:39:572,-0.58,-0.62,-1.34
18:22:39:574,-0.51,-0.62,-1.38
18:22:39:576,-0.51,-0.61,-1.42
18:22:39:578,-0.54,-0.60,-1.46
18:22:39:579,-0.57,-0.61,-1.47
18:22:39:581,-0.49,-0.61,-1.45
18:22:39:583,-0.36,-0.62,-1.41
18:22:39:586,-0.25,-0.63,-1.33
18:22:39:587,-0.17,-0.67,-1.27
18:22:39:589,-0.18,-0.88,-0.83
18:22:39:590,-0.18,-0.91,-0.74
18:22:39:591,-0.13,-0.94,-0.64
18:22:39:600,-0.10,-0.95,-0.60
18:22:39:609,-0.11,-0.92,-0.56
18:22:39:614,-0.12,-0.87,-0.53
18:22:39:644,-0.14,-0.86,-0.53
18:22:39:646,-0.10,-0.94,-0.52
18:22:39:648,-0.01,-1.06,-0.52
18:22:39:677,0.10,-1.19,-0.53
18:22:39:680,0.19,-1.26,-0.48
18:22:39:682,0.25,-1.20,-0.37
18:22:39:683,0.20,-1.10,-0.25
18:22:39:692,0.10,-0.98,-0.13
18:22:39:701,0.10,-0.78,0.06
18:22:39:711,0.18,-0.64,0.15
18:22:39:745,0.19,-0.64,0.04
18:22:39:747,0.16,-0.67,-0.07
18:22:39:748,0.09,-0.80,-0.24
18:22:39:750,0.02,-0.93,-0.37
18:22:39:760,0.14,-0.94,-0.32
18:22:39:774,0.34,-0.90,-0.26
18:22:39:779,0.50,-0.84,-0.25
18:22:39:790,0.59,-0.77,-0.25
18:22:39:799,0.62,-0.71,-0.24
18:22:39:809,0.60,-0.70,-0.22
18:22:39:818,0.49,-0.72,-0.15
18:22:39:829,0.32,-0.77,-0.08
18:22:39:839,0.13,-0.84,-0.03
18:22:39:848,0.02,-0.91,-0.03
18:22:39:857,-0.00,-0.94,-0.05
18:22:39:867,-0.02,-0.97,-0.07
18:22:39:901,-0.00,-0.97,-0.08
18:22:39:907,0.03,-0.96,-0.06
18:22:39:909,0.05,-0.97,-0.05
18:22:39:911,0.08,-0.96,-0.00
18:22:39:917,0.07,-0.92,0.03
18:22:39:925,0.04,-0.88,0.04
18:22:39:935,0.01,-0.83,0.07
18:22:39:972,0.01,-0.79,0.08
18:22:39:975,0.05,-0.80,0.07
18:22:39:976,0.08,-0.85,0.02
18:22:39:978,0.02,-0.91,-0.06
18:22:39:984,-0.09,-0.94,-0.14
18:22:39:994,-0.19,-0.94,-0.22
18:22:40:8,-0.25,-0.91,-0.26
18:22:40:13,-0.27,-0.87,-0.24
18:22:40:23,-0.30,-0.84,-0.22
18:22:40:32,-0.43,-0.80,-0.21
18:22:40:42,-0.63,-0.71,-0.21
18:22:40:52,-0.82,-0.60,-0.27
18:22:40:76,-0.96,-0.47,-0.41
18:22:40:78,-0.93,-0.30,-0.55
18:22:40:81,-0.69,-0.07,-0.70
18:22:40:91,-0.41,0.14,-0.83
18:22:40:100,-0.20,0.26,-0.90
18:22:40:111,-0.15,0.24,-0.93
18:22:40:124,-0.35,0.08,-0.90
18:22:40:130,-0.64,-0.14,-0.79
18:22:40:141,-0.91,-0.35,-0.68
18:22:40:149,-1.14,-0.49,-0.59
18:22:40:192,-1.25,-0.56,-0.56
18:22:40:195,-1.39,-0.57,-0.59
18:22:40:199,-1.45,-0.53,-0.58
18:22:40:202,-1.45,-0.56,-0.52
18:22:40:206,-1.36,-0.63,-0.43
18:22:40:210,-1.11,-0.74,-0.32
18:22:40:219,-0.85,-0.87,-0.29
18:22:40:227,-0.75,-0.97,-0.33
18:22:40:237,-0.81,-1.04,-0.38
18:22:40:247,-1.00,-0.92,-0.33
18:22:40:284,-1.10,-0.74,-0.31
18:22:40:289,-1.19,-0.53,-0.26
18:22:40:292,-1.23,-0.37,-0.17
18:22:40:296,-1.18,-0.41,-0.14
18:22:40:298,-1.20,-0.50,-0.01
18:22:40:308,-1.12,-0.59,0.10
18:22:40:315,-1.07,-0.60,0.15
18:22:40:326,-1.09,-0.58,0.12
18:22:40:334,-1.21,-0.54,0.01
18:22:40:344,-1.36,-0.51,-0.08
18:22:40:385,-1.44,-0.50,-0.12
18:22:40:389,-1.50,-0.49,-0.08
18:22:40:393,-1.48,-0.46,-0.05
18:22:40:395,-1.43,-0.41,0.04
18:22:40:397,-1.65,-0.37,0.09
18:22:40:402,-1.89,-0.30,0.08
18:22:40:412,-2.02,-0.23,0.14
18:22:40:620,-2.13,-0.23,0.18
18:22:40:622,-2.00,-0.18,0.27
18:22:40:623,-1.80,-0.19,0.41
18:22:40:625,-1.65,-0.22,0.53
18:22:40:627,-1.37,-0.19,0.61
18:22:40:628,-0.96,-0.13,0.68
18:22:40:630,-0.54,-0.06,0.75
18:22:40:631,-0.18,-0.01,0.78
18:22:40:633,-0.03,-0.04,0.77
18:22:40:634,-0.11,-0.15,0.70
18:22:40:636,-0.33,-0.25,0.60
18:22:40:637,-0.69,-0.32,0.47
18:22:40:639,-1.34,0.25,0.61
18:22:40:641,-1.47,0.43,0.55
18:22:40:649,-1.59,0.56,0.45
18:22:40:680,-1.74,0.50,0.43
18:22:40:682,-1.77,0.47,0.45
18:22:40:684,-1.69,0.39,0.51
18:22:40:686,-1.45,0.33,0.54
18:22:40:714,-1.07,0.35,0.57
18:22:40:716,-0.63,0.37,0.73
18:22:40:717,-0.27,0.40,1.04
18:22:40:728,-0.04,0.40,1.33
18:22:40:733,-0.09,0.35,1.53
18:22:40:743,-0.36,0.27,1.56
18:22:40:753,-0.93,0.22,1.43
18:22:40:763,-1.66,0.14,1.27
18:22:40:797,-2.50,0.07,1.09
18:22:40:800,-3.26,-0.16,0.75
18:22:40:802,-3.24,-0.25,0.26
18:22:40:804,-2.71,-0.19,-0.07
18:22:40:812,-1.69,-0.03,-0.19
18:22:40:821,-0.49,0.32,0.08
18:22:40:831,0.26,0.53,0.64
18:22:40:842,0.61,0.60,1.13
18:22:40:850,0.68,0.55,1.47
18:22:40:860,0.49,0.40,1.57
18:22:40:870,0.14,0.22,1.50
18:22:40:895,-0.33,0.11,1.36
18:22:40:897,-0.76,0.16,1.16
18:22:40:900,-0.90,0.40,0.90
18:22:40:911,-0.96,0.66,0.75
18:22:40:918,-1.03,0.75,0.76
18:22:40:928,-1.23,0.65,0.85
18:22:40:938,-1.54,0.46,1.10
18:22:40:948,-1.66,0.28,1.22
18:22:40:982,-1.54,0.24,1.10
18:22:40:984,-1.26,0.25,0.98
18:22:40:987,-1.01,0.33,0.88
18:22:40:991,-0.94,0.30,0.91
18:22:40:999,-0.77,0.08,0.73
18:22:41:10,-0.49,-0.14,0.44
18:22:41:16,-0.24,-0.42,0.13
18:22:41:27,-0.06,-0.48,-0.16
18:22:41:35,-0.22,-0.33,-0.19
18:22:41:45,-0.58,-0.23,-0.11
18:22:41:55,-0.79,-0.19,0.01
18:22:41:90,-0.87,-0.17,0.05
18:22:41:95,-0.69,-0.24,0.06
18:22:41:97,-0.40,-0.13,0.11
18:22:41:99,-0.26,-0.03,0.13
18:22:41:104,-0.20,-0.02,0.17
18:22:41:114,-0.26,0.09,0.29
18:22:41:126,-0.43,0.15,0.40
18:22:41:135,-0.62,0.25,0.38
18:22:41:145,-0.73,0.31,0.28
18:22:41:152,-0.80,0.27,0.16
18:22:41:162,-0.76,0.14,0.02
18:22:41:172,-0.61,-0.01,-0.03
18:22:41:206,-0.46,-0.15,-0.01
18:22:41:209,-0.30,-0.16,0.04
18:22:41:212,-0.20,-0.17,0.05
18:22:41:214,-0.09,-0.15,0.06
18:22:41:220,-0.02,-0.11,0.10
18:22:41:234,0.02,-0.12,0.11
18:22:41:241,0.07,0.08,0.18
18:22:41:251,0.19,0.22,0.25
18:22:41:289,0.30,0.19,0.26
18:22:41:292,0.28,0.16,0.32
18:22:41:295,0.27,-0.25,0.38
18:22:41:296,0.09,-0.62,0.32
18:22:41:299,-0.27,-0.74,0.13
18:22:41:312,-0.59,-0.71,-0.13
18:22:41:319,-0.90,-0.46,-0.33
18:22:41:332,-1.04,-0.12,-0.36
18:22:41:337,-0.80,-0.01,-0.14
18:22:41:347,-0.78,-0.12,0.22
18:22:41:390,-0.44,-0.22,0.38
18:22:41:393,-0.15,-0.32,0.55
18:22:41:395,-0.19,-0.30,0.64
18:22:41:397,0.31,-0.35,0.64
18:22:41:399,0.34,-0.28,0.66
18:22:41:409,0.26,-0.16,0.54
18:22:41:419,0.18,-0.03,0.41
18:22:41:432,-0.18,0.21,0.30
18:22:41:436,-0.43,0.19,0.22
18:22:41:446,-0.56,-0.02,0.26
18:22:41:454,-0.54,-0.25,0.31
18:22:41:466,-0.50,-0.46,0.32
18:22:41:505,-0.48,-0.55,0.32
18:22:41:715,-0.48,-0.50,0.22
18:22:41:717,-0.43,-0.38,0.09
18:22:41:719,-0.28,-0.22,-0.03
18:22:41:720,-0.03,-0.06,-0.13
18:22:41:721,0.03,0.04,-0.18
18:22:41:723,-0.04,0.11,-0.21
18:22:41:724,-0.19,0.13,-0.16
18:22:41:726,-0.42,0.16,-0.01
18:22:41:727,-0.52,0.26,0.23
18:22:41:729,-0.55,0.36,0.48
18:22:41:730,-0.54,0.48,0.65
18:22:41:731,-0.53,0.52,0.71
18:22:41:733,-0.52,0.39,0.45
18:22:41:734,-0.56,0.43,0.58
18:22:41:736,-0.56,0.42,0.68
18:22:41:747,-0.55,0.33,0.71
18:22:41:756,-0.56,0.19,0.70
18:22:41:786,-0.56,0.03,0.69
18:22:41:788,-0.53,-0.12,0.68
18:22:41:789,-0.54,-0.23,0.69
18:22:41:797,-0.63,-0.26,0.72
18:22:41:804,-0.72,-0.26,0.77
18:22:41:833,-0.81,-0.23,0.84
18:22:41:835,-0.80,-0.13,0.90
