time,x,y,z
18:10:00:358,0.92,-0.02,-1.06
18:10:00:368,1.09,-0.05,-1.19
18:10:00:373,1.10,-0.15,-1.35
18:10:00:383,0.83,-0.24,-1.48
18:10:00:392,0.40,-0.35,-1.54
18:10:00:402,-0.15,-0.40,-1.46
18:10:00:437,-0.78,-0.37,-1.18
18:10:00:503,-1.24,-0.34,-0.86
18:10:00:505,-1.54,-0.28,-0.60
18:10:00:506,-1.63,-0.28,-0.43
18:10:00:508,-1.49,-0.29,-0.34
18:10:00:510,-1.23,-0.25,-0.27
18:10:00:511,-0.93,-0.20,-0.18
18:10:00:513,-0.71,-0.14,-0.12
18:10:00:515,-0.53,-0.15,-0.13
18:10:00:516,-0.42,-0.22,-0.18
18:10:00:518,-0.32,-0.38,-0.31
18:10:00:520,-0.17,-0.58,-0.49
18:10:00:529,-0.06,-0.75,-0.71
18:10:00:564,0.05,-0.92,-0.96
18:10:00:566,0.15,-1.01,-1.18
18:10:00:568,0.25,-1.05,-1.34
18:10:00:570,0.35,-1.05,-1.44
18:10:00:579,0.41,-1.01,-1.46
18:10:00:591,0.41,-0.94,-1.38
18:10:00:597,0.32,-0.84,-1.21
18:10:00:607,0.14,-0.71,-0.99
18:10:00:616,-0.11,-0.57,-0.80
18:10:00:645,-0.39,-0.46,-0.66
18:10:00:647,-0.64,-0.38,-0.63
18:10:00:649,-0.86,-0.31,-0.66
18:10:00:658,-1.02,-0.33,-0.64
18:10:00:665,-1.12,-0.38,-0.57
18:10:00:675,-1.17,-0.46,-0.41
18:10:00:684,-1.13,-0.57,-0.20
18:10:00:694,-1.02,-0.61,-0.04
18:10:00:732,-0.86,-0.63,0.09
18:10:00:735,-0.63,-0.64,0.16
18:10:00:738,-0.36,-0.67,0.15
18:10:00:740,-0.02,-0.74,0.05
18:10:00:747,0.41,-0.80,-0.24
18:10:00:755,0.72,-0.83,-0.66
18:10:00:762,0.63,-0.80,-0.93
18:10:00:775,0.26,-0.72,-0.97
18:10:00:782,-0.24,-0.62,-0.82
18:10:00:792,-0.63,-0.54,-0.50
18:10:00:801,-0.69,-0.48,-0.26
18:10:00:834,-0.54,-0.43,-0.14
18:10:00:837,-0.32,-0.32,-0.03
18:10:00:839,-0.09,-0.20,0.17
18:10:00:841,0.08,-0.07,0.44
18:10:00:850,0.16,0.02,0.76
18:10:00:860,0.12,0.04,1.07
18:10:00:871,-0.10,0.11,1.32
18:10:00:879,-0.38,0.24,1.48
18:10:00:892,-0.64,0.42,1.57
18:10:00:898,-0.87,0.59,1.62
18:10:00:909,-1.00,0.66,1.59
18:10:00:918,-1.04,0.58,1.58
18:10:00:959,-1.12,0.44,1.62
18:10:00:961,-1.28,0.31,1.65
18:10:00:964,-1.39,0.05,1.77
18:10:00:967,-1.60,-0.01,1.88
18:10:00:969,-1.60,0.03,1.91
18:10:00:979,-1.39,0.22,1.85
18:10:00:986,-1.20,0.76,1.56
18:10:00:996,-0.90,1.21,1.21
18:10:01:29,-0.71,1.54,0.90
18:10:01:31,-0.63,1.54,0.70
18:10:01:33,-0.60,1.26,0.65
18:10:01:35,-0.69,0.91,0.64
18:10:01:44,-0.82,0.62,0.63
18:10:01:58,-0.91,0.54,0.63
18:10:01:64,-0.88,0.59,0.70
18:10:01:74,-0.63,0.66,0.75
18:10:01:83,-0.28,0.74,0.74
18:10:01:93,0.03,0.77,0.66
18:10:01:103,0.21,0.79,0.52
18:10:01:132,0.20,0.81,0.39
18:10:01:135,0.09,0.82,0.31
18:10:01:137,0.04,0.85,0.23
18:10:01:144,0.05,0.85,0.10
18:10:01:151,-0.03,0.79,0.09
18:10:01:162,0.03,0.78,-0.03
18:10:01:173,0.04,0.76,-0.22
18:10:01:181,0.00,0.68,-0.38
18:10:01:192,-0.00,0.67,-0.66
18:10:01:200,-0.14,0.65,-0.82
18:10:01:210,-0.28,0.64,-0.88
18:10:01:220,-0.37,0.67,-0.94
18:10:01:258,-0.29,0.67,-0.92
18:10:01:261,-0.16,0.60,-0.85
18:10:01:264,0.03,0.53,-0.73
18:10:01:266,0.21,0.47,-0.56
18:10:01:268,0.28,0.39,-0.43
18:10:01:278,0.26,0.25,-0.33
18:10:01:294,0.18,0.08,-0.28
18:10:01:298,0.14,-0.11,-0.25
18:10:01:309,0.14,-0.29,-0.28
18:10:01:317,0.16,-0.44,-0.30
18:10:01:357,0.21,-0.55,-0.32
18:10:01:360,0.25,-0.61,-0.33
18:10:01:362,0.32,-0.64,-0.33
18:10:01:364,0.42,-0.66,-0.31
18:10:01:372,0.49,-0.69,-0.29
18:10:01:376,0.45,-0.77,-0.32
18:10:01:385,0.34,-0.89,-0.36
18:10:01:478,0.18,-1.02,-0.42
18:10:01:480,0.04,-1.13,-0.50
18:10:01:481,-0.04,-1.17,-0.52
18:10:01:484,-0.12,-1.12,-0.49
18:10:01:485,-0.19,-1.01,-0.44
18:10:01:486,-0.29,-0.90,-0.39
18:10:01:488,-0.38,-0.82,-0.34
18:10:01:489,-0.43,-0.80,-0.33
18:10:01:490,-0.47,-0.83,-0.34
18:10:01:492,-0.49,-0.88,-0.35
18:10:01:494,-0.45,-0.90,-0.36
18:10:01:502,-0.35,-0.90,-0.36
18:10:01:533,-0.22,-0.90,-0.36
18:10:01:535,-0.06,-0.89,-0.36
18:10:01:536,0.09,-0.88,-0.36
18:10:01:545,0.22,-0.85,-0.35
18:10:01:550,0.31,-0.79,-0.30
18:10:01:560,0.38,-0.73,-0.25
18:10:01:570,0.42,-0.70,-0.20
18:10:01:580,0.42,-0.69,-0.14
18:10:01:592,0.39,-0.68,-0.07
18:10:01:599,0.33,-0.63,0.03
18:10:01:609,0.25,-0.57,0.14
18:10:01:618,0.17,-0.53,0.23
18:10:01:663,0.12,-0.52,0.31
18:10:01:665,0.12,-0.55,0.30
18:10:01:668,0.10,-0.62,0.26
18:10:01:670,0.06,-0.65,0.25
18:10:01:674,0.02,-0.63,0.21
18:10:01:681,-0.08,-0.56,0.27
18:10:01:687,-0.18,-0.42,0.33
18:10:01:697,-0.27,-0.29,0.34
18:10:01:740,-0.40,-0.20,0.32
18:10:01:743,-0.52,-0.13,0.29
18:10:01:746,-0.65,-0.03,0.24
18:10:01:748,-0.73,0.08,0.23
18:10:01:750,-0.74,0.22,0.26
18:10:01:755,-0.76,0.35,0.30
18:10:01:765,-0.78,0.43,0.35
18:10:01:778,-0.81,0.46,0.41
18:10:01:785,-0.86,0.46,0.46
18:10:01:795,-0.89,0.45,0.48
18:10:01:804,-0.89,0.44,0.50
18:10:01:848,-0.90,0.48,0.54
18:10:01:851,-0.88,0.57,0.61
18:10:01:854,-0.84,0.68,0.70
